Date,CNH,JPY,KRW,THB,USD
2001-01-24,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-01-25,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-01-26,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-01-29,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-01-30,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-01-31,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-01,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-02,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-05,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-06,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-07,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-08,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-09,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-12,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-13,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-14,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-15,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-16,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-19,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-20,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-21,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-22,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-23,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-26,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-27,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
2001-02-28,1211331651866.09,4968359075956.59,576179387819.61,126392224253.79,10250952000000.0
