Date,CNH,JPY,KRW,THB,USD
2001-01-24,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-01-25,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-01-26,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-01-29,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-01-30,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-01-31,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-01,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-02,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-05,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-06,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-07,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-08,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-09,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-12,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-13,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-14,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-15,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-16,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-19,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-20,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-21,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-22,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-23,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-26,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-27,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-02-28,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-01,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-02,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-05,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-06,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-07,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-08,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-09,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-12,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-13,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-14,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-15,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-16,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-19,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-20,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-21,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-22,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-23,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-26,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-27,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-28,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-29,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-03-30,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-02,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-03,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-04,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-05,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-06,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-09,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-10,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-11,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-12,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-13,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-16,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-17,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-18,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-19,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-20,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
2001-04-23,0.347811227,-0.676578684,2.259165801,1.591969175,3.376857271
